,tanggal,kelurahan,avg_ketinggian,jumlah_terdampak_jiwa
0,2018-01,CENGKARENG TIMUR,25.0,0
1,2018-01,JELAMBAR,20.0,0
2,2018-01,JELAMBAR BARU,15.0,0
3,2018-01,KAMAL,17.5,0
4,2018-01,KAMAL MUARA,25.0,0
5,2018-01,KAPUK,17.5,0
6,2018-01,KEMBANGAN UTARA,12.5,0
7,2018-01,RAWA BUAYA,17.5,0
8,2018-02,BALE KAMBANG,180.0,54
9,2018-02,BANGKA,35.0,0
10,2018-02,BIDARA CINA,130.0,2642
11,2018-02,BUKIT DURI,25.0,0
12,2018-02,CAKUNG BARAT,50.0,56
13,2018-02,CAWANG,145.0,3584
14,2018-02,CEMPAKA PUTIH TIMUR,22.5,0
15,2018-02,CENGKARENG BARAT,45.0,0
16,2018-02,CENGKARENG TIMUR,45.0,0
17,2018-02,CILILITAN,140.0,806
18,2018-02,CIPINANG MELAYU,55.0,0
19,2018-02,CIPINANG MUARA,65.0,0
20,2018-02,DURI KEPA,37.5,0
21,2018-02,DURI KOSAMBI,30.0,0
22,2018-02,GEDONG,100.0,0
23,2018-02,JATI PULO,40.0,0
24,2018-02,JATINEGARA,20.0,0
25,2018-02,JELAMBAR BARU,20.0,0
26,2018-02,KAMAL,40.0,0
27,2018-02,KAMAL MUARA,7.5,0
28,2018-02,KAMPUNG MELAYU,115.0,3074
29,2018-02,KAPUK,32.5,0
30,2018-02,KAPUK MUARA,10.0,0
31,2018-02,KEBON BARU,50.0,0
32,2018-02,KEBON MANGGIS,50.0,414
33,2018-02,KEMBANGAN UTARA,22.5,0
34,2018-02,LENTENG AGUNG,125.0,0
35,2018-02,MAKASAR,35.0,0
36,2018-02,MANGGARAI,115.0,2347
37,2018-02,PANGADEGAN,155.0,2993
38,2018-02,PEGANGSAAN DUA,65.0,100
39,2018-02,PEJATEN TIMUR,115.0,962
40,2018-02,PENJARINGAN,22.5,0
41,2018-02,PONDOK LABU,45.0,480
42,2018-02,RAWA BUAYA,17.5,0
43,2018-02,RAWA JATI,130.0,1509
44,2018-02,RAWA TERATE,65.0,0
45,2018-02,SERDANG,30.0,0
46,2018-02,SRENGSENG SAWAH,5.0,265
47,2018-02,SUKAPURA,30.0,30
48,2018-02,TEGAL ALUR,25.0,0
49,2018-02,TUGU SELATAN,40.0,140
50,2018-02,WIJAYA KUSUMA,30.0,0
51,2018-03,BIDARA CINA,30.0,0
52,2018-03,CAWANG,30.0,0
53,2018-03,CILILITAN,75.0,0
54,2018-03,CIPINANG MELAYU,10.0,0
55,2018-03,KAMPUNG MELAYU,55.0,1000
56,2018-03,KEBON BARU,30.0,0
57,2018-03,PEJATEN TIMUR,30.0,0
58,2018-03,RAWAJATI,55.0,0
59,2018-04, PENGGILINGAN ,25.0,0
60,2018-04,BIDARA CINA,22.5,0
61,2018-04,CAWANG ,35.0,0
62,2018-04,CIPINANG MELAYU,7.5,0
63,2018-04,JATINEGARA ,70.0,0
64,2018-04,KAMPUNG MELAYU,32.5,988
65,2018-04,RAWAMANGUN,35.0,0
66,2018-04,ULUJAMI,25.0,0
67,2018-05,BANGKA,5.0,60
68,2018-05,BIDARA CINA,90.0,0
69,2018-05,CAWANG,40.0,0
70,2018-05,CILANDAK TIMUR,65.0,20
71,2018-05,CILILITAN,20.0,0
72,2018-05,CIPETE SELATAN,30.0,0
73,2018-05,DUREN TIGA,35.0,0
74,2018-05,JATI PADANG,25.0,0
75,2018-05,KAMAL,20.0,0
76,2018-05,KAMPUNG MELAYU,55.0,636
77,2018-05,KEBON BARU,15.0,0
78,2018-05,PEJATEN TIMUR,30.0,0
79,2018-05,PENGADEGAN,30.0,0
80,2018-05,PETOGOGAN,40.0,0
81,2018-05,PONDOK LABU,45.0,0
82,2018-05,RAGUNAN,20.0,0
83,2018-05,RAWAJATI,45.0,0
84,2018-06,BIDARA CINA,62.5,0
85,2018-06,CAWANG,15.0,0
86,2018-06,CILILITAN,20.0,3
87,2018-06,CIPULIR,20.0,0
88,2018-06,KAMPUNG MELAYU,55.0,1065
89,2018-06,PEJATEN TIMUR,20.0,0
90,2018-06,PENGADEGAN,12.5,0
91,2018-06,PONDOK PINANG,45.0,0
92,2018-10,BIDARA CINA,55.0,290
93,2018-10,CAWANG,30.0,0
94,2018-10,GUNUNG SAHARI UTARA,25.0,0
95,2018-10,KAMPUNG MELAYU,55.0,711
96,2018-10,RAWA BUAYA,25.0,0
97,2018-11,BIDARA CINA,40.0,710
98,2018-11,CAWANG,30.0,0
99,2018-11,CILANDAK TIMUR,20.0,0
100,2018-11,CIPINANG MELAYU,40.0,1858
101,2018-11,CIPINANG MUARA,70.0,240
102,2018-11,GANDARIA SELATAN,65.0,0
103,2018-11,JATINEGARA,12.5,0
104,2018-11,KAMAL,17.5,0
105,2018-11,KAMAL MUARA,7.5,0
106,2018-11,KAMPUNG MELAYU,55.0,789
107,2018-11,PEJATEN TIMUR,20.0,0
108,2018-11,PLUIT,8.5,0
109,2018-11,PONDOK PINANG,15.0,0
110,2018-11,RAMBUTAN,20.0,0
111,2018-11,RAWA TERATE,12.5,0
112,2018-11,ULUJAMI,55.0,4000
113,2018-12,BANGKA,65.0,0
114,2018-12,CAKUNG TIMUR,20.0,800
115,2018-12,CENGKARENG TIMUR,25.0,0
116,2018-12,CILANDAK BARAT,40.0,0
117,2018-12,CILANDAK TIMUR,55.0,0
118,2018-12,CIPETE UTARA,30.0,0
119,2018-12,CIPINANG MELAYU,20.0,0
120,2018-12,CIPULIR,55.0,0
121,2018-12,DUREN TIGA,70.0,0
122,2018-12,DURI KOSAMBI,25.0,77
123,2018-12,KALIBATA,30.0,0
124,2018-12,KAMAL,8.0,0
125,2018-12,KAMAL MUARA,6.5,0
126,2018-12,KEMBANGAN UTARA,50.0,0
127,2018-12,PENJARINGAN,7.5,0
128,2018-12,PETOGOGAN,25.0,0
129,2018-12,PLUIT,7.5,0
130,2018-12,PONDOK LABU,40.0,0
131,2018-12,RAMBUTAN,30.0,0
132,2018-12,RAWA BUAYA,37.5,0
133,2018-12,RAWA TERATE,55.0,0
134,2018-12,ULUJAMI,30.0,0
135,2019-01,CENGKARENG TIMUR,40.0,0
136,2019-01,CILINCING,15.0,0
