bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian,tahun
1,4,5,10-70,2,7,n.a,n.a,0,0,0,0,0,0,n.a,2017
2,31,67,10-250,5,216,6967,19325,6,0,0,0,5858,45,n.a,2017
3,20,40,0-160,3,95,3232,10166,0,0,0,0,1870,27,n.a,2017
4,19,33,10-200,1,78,621,2131,0,0,0,0,753,40,n.a,2017
5,15,25,5-120,2,48,1056,3420,0,0,0,0,20,0,n.a,2017
6,4,5,10-110,1,17,1409,4547,0,0,0,0,0,0,n.a,2017
7,6,8,10-80,1,22,251,705,0,0,0,0,0,6,n.a,2017
8,5,6,10-80,1,13,n.a,n.a,0,0,0,0,0,4,n.a,2017
9,1,1,10-80,1,2,n.a,n.a,0,0,0,0,0,9,n.a,2017
10,8,11,10-105,3,25,15,n.a,0,0,0,0,0,0,n.a,2017
11,17,37,10-150,2,86,1935,6505,0,0,0,0,564,3,n.a,2017
12,19,26,10-70,2,51,131,404,0,0,0,0,35,0,n.a,2017
1,5,8,5-40,1 s/d 2 ,25,0,0,0,0,0,0,0,0,n.a,2018
2,24,43,5-300,1 s/d 6 ,162,5467,19456,1,0,1,0,15558,60,n.a,2018
3,6,8,10-100,1,21,303,1000,0,0,0,0,0,0,n.a,2018
4,6,8,5-90,1,19,300,988,0,0,0,0,0,0,n.a,2018
5,8,17,10-150,1,47,214,716,0,0,0,0,69,2,n.a,2018
6,5,8,10-100,1,18,328,1068,0,0,0,0,0,0,n.a,2018
7,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a,2018
8,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a,2018
9,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a,2018
10,4,5,10-80,1,13,387,1001,0,0,0,0,0,0,n.a,2018
11,11,16,5-100,1,28,1848,7597,0,0,0,0,0,0,n.a,2018
12,14,22,3-100,1,38,244,877,0,0,0,0,0,0,n.a,2018
1,14,31,10 s.d 70 cm,2 hari,58,135,453,0,0,0,0,0,0,n.a,2019
2,15,25,10 s.d 135 cm ,1 hari,43,398,1186,0,0,0,0,0,0,n.a,2019
3,23,43,10 s.d 100 cm,2 hari,119,315,1010,0,0,0,0,85,2,n.a,2019
4,17,34,10 s.d 250 cm ,1 hari,94,2915,8851,2,0,0,0,3600,23,n.a,2019
5,5,7,10 s.d 100 cm ,1 hari,15,150,355,0,0,0,0,0,0,n.a,2019
6,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a,2019
7,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a,2019
8,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a,2019
9,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a,2019
10,5,7,10 s/d 100 cm,1 hari,16,391,1203,0,0,0,0,0,0,n.a,2019
11,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a,2019
12,11,20,15 s/d 100 cm,1 hari,41,316,1601,0,0,0,0,0,0,n.a,2019
1,35,151,10 s.d 350 cm,4 hari,390,22148,83406,19,0,0,0,36445,269,n.a,2020
2,42,167,5 s.d 200 cm,1 s.d 2 hari,581,12551,43464,6,0,0,0,13808,119,n.a,2020
3,24,46,5 s.d 160 cm,1 s.d 2 hari,104,3057,9687,0,0,0,0,453,14,n.a,2020
4,21,50,10 s.d 130 cm,1 s.d 2 hari,106,1059,2966,0,0,0,0,75,2,n.a,2020
5,12,23,10 s.d 200 cm,1 s.d 2 hari,47,891,3117,0,0,0,0,213,6,n.a,2020
6,9,16,5 s.d 120 cm,1 hari,46,80,320,0,0,0,0,320,7,n.a,2020
7,2,2,20 s.d 50 cm,1 hari,4,0,0,0,0,0,0,0,0,n.a,2020
8,10,12,10 s.d 80 cm,1 hari,20,0,0,0,0,0,0,0,0,n.a,2020
9,16,28,10 s.d 130 cm,1 s.d 2 hari,65,414,1300,0,0,0,0,104,5,n.a,2020
10,29,72,10 s.d 180 cm,1 s.d 2 hari,170,1933,6250,0,0,0,0,675,12,n.a,2020
11,16,27,10 s.d 60 cm,1 s.d 2 hari,54,0,0,0,0,0,0,0,0,n.a,2020
12,7,9,10 s.d 80 cm,1 hari,18,250,827,0,0,0,0,0,0,n.a,2020
