,kelurahan,avg_ketinggian,jumlah_terdampak_jiwa,cluster
0,BALE KAMBANG,180.0,54,0
1,BANGKA,35.0,60,0
2,BIDARA CINA,61.42857142857143,3642,1
3,BUKIT DURI,25.0,0,0
4,CAKUNG BARAT,50.0,56,0
5,CAKUNG TIMUR,20.0,800,0
6,CAWANG,48.333333333333336,3584,1
7,CAWANG ,35.0,0,0
8,CEMPAKA PUTIH TIMUR,22.5,0,0
9,CENGKARENG BARAT,45.0,0,0
10,CENGKARENG TIMUR,31.666666666666668,0,0
11,CILANDAK BARAT,40.0,0,0
12,CILANDAK TIMUR,46.666666666666664,20,0
13,CILILITAN,63.75,809,0
14,CIPETE SELATAN,30.0,0,0
15,CIPETE UTARA,30.0,0,0
16,CIPINANG MELAYU,26.5,1858,0
17,CIPINANG MUARA,67.5,240,0
18,CIPULIR,37.5,0,0
19,DUREN TIGA,52.5,0,0
20,DURI KEPA,37.5,0,0
21,DURI KOSAMBI,27.5,77,0
22,GANDARIA SELATAN,65.0,0,0
23,GEDONG,100.0,0,0
24,GUNUNG SAHARI UTARA,25.0,0,0
25,JATI PADANG,25.0,0,0
26,JATI PULO,40.0,0,0
27,JATINEGARA,16.25,0,0
28,JATINEGARA ,70.0,0,0
29,JELAMBAR,20.0,0,0
30,JELAMBAR BARU,17.5,0,0
31,KALIBATA,30.0,0,0
32,KAMAL,20.6,0,0
33,KAMAL MUARA,11.625,0,0
34,KAMPUNG MELAYU,60.357142857142854,8263,1
35,KAPUK,25.0,0,0
36,KAPUK MUARA,10.0,0,0
37,KEBON BARU,31.666666666666668,0,0
38,KEBON MANGGIS,50.0,414,0
39,KEMBANGAN UTARA,28.333333333333332,0,0
40,LENTENG AGUNG,125.0,0,0
41,MAKASAR,35.0,0,0
42,MANGGARAI,115.0,2347,1
43,PANGADEGAN,155.0,2993,1
44,PEGANGSAAN DUA,65.0,100,0
45,PEJATEN TIMUR,43.0,962,0
46,PENGADEGAN,21.25,0,0
47,PENJARINGAN,15.0,0,0
48,PETOGOGAN,32.5,0,0
49,PLUIT,8.0,0,0
50,PONDOK LABU,43.333333333333336,480,0
51,PONDOK PINANG,30.0,0,0
52,RAGUNAN,20.0,0,0
53,RAMBUTAN,25.0,0,0
54,RAWA BUAYA,24.375,0,0
55,RAWA JATI,130.0,1509,0
56,RAWA TERATE,44.166666666666664,0,0
57,RAWAJATI,50.0,0,0
58,RAWAMANGUN,35.0,0,0
59,SERDANG,30.0,0,0
60,SRENGSENG SAWAH,5.0,265,0
61,SUKAPURA,30.0,30,0
62,TEGAL ALUR,25.0,0,0
63,TUGU SELATAN,40.0,140,0
64,ULUJAMI,36.666666666666664,4000,1
65,WIJAYA KUSUMA,30.0,0,0
